office_name,office_name_short,agency,field_office_name,sub_office,address,city,state,zip,zip_4,address_full,area,office_latitude,office_longitude
"Pecos, TX",,ERO,El Paso Field Office,TRUE,67 S. Frontage IH-20W,Pecos,TX,79772,79772,"67 S. Frontage IH-20W, Pecos, TX 79772","Counties of Brewster, Culberson, Hudspeth, Jeff Davis, Loving, Presidio, Pecos, Reeves, Terrell, Ward, Winkler",31.3965689,-103.4927033
"Harlingen, TX",,ERO,Harlingen Field Office,TRUE,1717 Zoy Street,Harlingen,TX,78552,78552,"1717 Zoy Street, Harlingen, TX 78552","Counties of Cameron, Willacy, Kenedy, Kleburg, Nueces, San Patricio, Hidalgo, Brooks, Starr, Jim Hogg, Zapata, Webb, Duval, Jim Wells, Aransas",26.1776479,-97.714091
"Houston, TX",,ERO,Houston Field Office,TRUE,126 Northpoint Drive,Houston,TX,77060,77060,"126 Northpoint Drive, Houston, TX 77060",54 counties of SE Texas,29.9375017,-95.40659
"Los Angeles, CA",,ERO,Los Angeles Field Office,TRUE,300 N. Los Angeles Street Room B17,Los Angeles,CA,90012,90012,"300 N. Los Angeles Street Room B17, Los Angeles, CA 90012",Los Angeles County,34.0538882,-118.2397677
"San Bernardino, CA",,ERO,Los Angeles Field Office,TRUE,655 West Rialto Avenue,San Bernardino,CA,92410,92410,"655 West Rialto Avenue, San Bernardino, CA 92410",Counties: San Bernardino and Riverside,34.1005171,-117.2976207
"Santa Ana, CA",,ERO,Los Angeles Field Office,TRUE,34 Civic Center Plaza Room 1027,Santa Ana,CA,92701,92701,"34 Civic Center Plaza Room 1027, Santa Ana, CA 92701",Orange County,33.7484501,-117.8749858
"Santa Maria, CA",,ERO,Los Angeles Field Office,TRUE,740 West Century Street Suite A,Santa Maria,CA,93455,93455,"740 West Century Street Suite A, Santa Maria, CA 93455",Counties: Santa Barbara and San Luis Obispo,34.9181061,-120.4447913
"Ventura, CA",,ERO,Los Angeles Field Office,TRUE,321 Cortez Circle,Camarillo,CA,93012,93012,"321 Cortez Circle, Camarillo, CA 93012",Ventura County,34.2141381,-118.9947166
"Jacksonville, FL",,ERO,Miami Field Office,TRUE,13077 Veveras Drive,Jacksonville,FL,32258,32258,"13077 Veveras Drive, Jacksonville, FL 32258","Counties of Duval, Saint John’s, Nassau, Flagler, Putnam, Baker, Clay, Gilchrist, Bradford, Colombia, Union, Levy",30.1326381,-81.512794
"Miami, FL",,ERO,Miami Field Office,TRUE,2805 SW 145th Avenue,Miramar,FL,33027,33027,"2805 SW 145th Avenue, Miramar, FL 33027","Counties of Miami Dade, Monroe, Broward, Palm Beach, Martin, Okeechobee, Highlands, Glades, Charlotte, Desoto, Lee, Collier, and Hendry",25.9827432,-80.3394602
"Orlando, FL",,ERO,Miami Field Office,TRUE,9495 Delegates Drive,Orlando,FL,32837,32837,"9495 Delegates Drive, Orlando, FL 32837","Counties of Brevard, Highlands, Indian River, Lake, Marion, Okeechobee, Orange, Osceola, Seminole, St. Lucie, Volusia",28.4283361,-81.4093722
"Tallahassee, FL",,ERO,Miami Field Office,TRUE,1530 Commonwealth Business Drive,Tallahassee,FL,32303,32303,"1530 Commonwealth Business Drive, Tallahassee, FL 32303","Counties of Escambia, Santa Rosa, Okaloosa, Walton, Holmes, Washington, Jackson, Bay, Calhoun, Gulf, Liberty, Franklin, Gadsden, Leon, Wakulla, Jefferson, Madison, Taylor, Lafayette, Madison, Suwannee, Dixie, Hamilton.",30.4719963,-84.3551414
"Tampa, FL",,ERO,Miami Field Office,TRUE,5524 West Cypress Street,Tampa,FL,33607,33607,"5524 West Cypress Street, Tampa, FL 33607","Counties of Hillsborough, Manatee, Sarasota, Pinellas, Pasco, Polk, Hardee, DeSoto, Charlotte, Lee, Levy, Citrus, Sumter, Hernando",27.951595,-82.5398413
"Birmingham, AL",,ERO,New Orleans Field Office,TRUE,107 Frankfurt Circle,Birmingham,AL,35211,35211,"107 Frankfurt Circle, Birmingham, AL 35211","Counties of Sumter, Greene, Pickens, Tuscaloosa, Bibb, Shelby, Talladega, Clay, St. Clair, Jefferson, Walker, Fayette, Lamar, Marion, Winston, Franklen, Colbert",33.4368138,-86.8657011
"Chattanooga, TN",,ERO,New Orleans Field Office,TRUE,2150 Stein Drive,Chattanooga,TN,37421,37421,"2150 Stein Drive, Chattanooga, TN 37421",17 Southeastern TN Counties,35.0562266,-85.1845268
"Fayetteville, AR",,ERO,New Orleans Field Office,TRUE,2887 N. Point Circle,Fayetteville,AR,72701,72701,"2887 N. Point Circle, Fayetteville, AR 72701",Northwest Arkansas,36.1046391,-94.1784596
"Fort Smith, AR",,ERO,New Orleans Field Office,TRUE,4991 Old Greenwood Road,Fort Smith,AR,72903,72903,"4991 Old Greenwood Road, Fort Smith, AR 72903",Western Arkansas,35.3354817,-94.3891997
"Gadsden, AL",,ERO,New Orleans Field Office,TRUE,800 Forrest Avenue 3rd Floor,Gadsden,AL,35901,35901,"800 Forrest Avenue 3rd Floor, Gadsden, AL 35901","Counties of Cleburne, Calhoun, Etowah, Cherokee, DeKalb, Blount, Cullman, Morgan, Lawrence, Lauderdale, Limestone, Madison, Jackson, DeKalb, Marshall",34.015507,-86.0123566
"Jackson, MS",,ERO,New Orleans Field Office,TRUE,202 Metroplex Drive,Pearl,MS,39208,39208,"202 Metroplex Drive, Pearl, MS 39208","Counties: Adams, Amite, Attala, Bolivar, Calhoun, Carroll, Chickasaw, Choctaw, Claiborne, Clay, Coahoma, Copiah, Franklin, Grenada, Hinds, Holmes, Humphreys, Issaquena, Jefferson, Kemper, Lauderdale, Leake, Leflore, Lincoln, Lowndes, Madison, Monroe, Montgomery, Neshoba, Newton, Noxubee, Oktibbeha, Pike, Quitman, Rankin, Scott, Sharkey, Simpson, Smith, Sunflower, Tallahatchie, Tallahatchie, Warren, Washington, Webster, Wilkinson, Winston, Yalobusha, Yazoo",32.2902501,-90.0597098
"Knoxville, TN",,ERO,New Orleans Field Office,TRUE,324 Prosperity Drive,Knoxville,TN,37923,37923,"324 Prosperity Drive, Knoxville, TN 37923",23 Northeastern TN Counties,35.9232411,-84.0793813
"Little Rock, AR",,ERO,New Orleans Field Office,TRUE,4501 E Roosevelt Road,Little Rock,AR,72206,72206,"4501 E Roosevelt Road, Little Rock, AR 72206",Central and northeast Arkansas,34.7211076,-92.2249691
"Memphis, TN",,ERO,New Orleans Field Office,TRUE,2833 Business Park Drive Building 1,Memphis,TN,38118,38118,"2833 Business Park Drive Building 1, Memphis, TN 38118",North Mississippi and West Tennessee,35.0718002,-89.9655151
"Montgomery, AL",,ERO,New Orleans Field Office,TRUE,500 Interstate Park Drive Suite 529,Montgomery,AL,36109,36109,"500 Interstate Park Drive Suite 529, Montgomery, AL 36109","Counties of Chilton, Coosa, Tallapoosa, Randolph, Autauga, Elmore, Macon, Lee, Chambers, Lowndes, Montgomery, Bullock, Russell, Barbour, Pike, Crenshaw, Butler, Covington, Coffe, Dale, Henry, Geneva, Houston",32.3621547,-86.2412058
"Nashville, TN",,ERO,New Orleans Field Office,TRUE,501 Brick Church Park Drive,Nashville,TN,37207,37207,"501 Brick Church Park Drive, Nashville, TN 37207",32 middle TN Counties,36.2251232,-86.7865862
"New Orleans, LA",,ERO,New Orleans Field Office,TRUE,181 James Drive W,Saint Rose,LA,70087,70087,"181 James Drive W, Saint Rose, LA 70087",Southern Louisiana,29.9857549,-90.2854711
"Texarkana, AR",,ERO,New Orleans Field Office,TRUE,3822 Airport Plaza,Texarkana,AR,71854,71854,"3822 Airport Plaza, Texarkana, AR 71854",Southern Arkansas,33.4580292,-94.0009838
"New York City, NY",,ERO,New York Field Office,TRUE,"26 Federal Plaza 9th Floor, Suite 9-110",New York,NY,10278,10278,"26 Federal Plaza 9th Floor, Suite 9-110, New York, NY 10278","Entire NYC AOR - counties of Bronx, Dutchess, Kings, Nassau, New York, Orange, Putnam, Queens, Richmond, Rockland, Suffolk, Sullivan, Ulster and Westchester",40.7152635,-74.0037546
"Mount Laurel, NJ",,ERO,Newark Field Office,TRUE,532 Fellowship Road Suite A,Mount Laurel,NJ,08054,08054,"532 Fellowship Road Suite A, Mount Laurel, NJ 08054","Counties: Mercer, Burlington, Ocean, Atlantic, Cape May, Camden, Gloucester, Cumberland, and Salem",39.9327436,-74.9576161
